nro,concepto
1,Bonificaciones y gratificaciones por Gestion Administrativa
2,Bonificaciones y gratificaciones por Gestion Presupuestaria
3,Bonificaciones y gratificaciones por Labores Insalubres
4,Bonificaciones y gratificaciones Por Ordenadores
5,Bonificaciones y gratificaciones Por Responsabilidad
6,Bonificación por antiguedad
7,Bonificación por grado académico
8,Equiparación Directores
9,Equiparación Jefes de Departamento
10,Equiparación Técnicos
11,Gasto de representacion
12,Gratificaciones por servicios especiales
13,Honorarios de personal docente
14,Honorarios de personal tecnico
15,Honorarios profesionales
16,Jornales
17,Remuneración adicional
18,Remuneración Extraordinaria
19,Subsidio familiar
20,Subsidio para la salud
21,Sueldos
22,Viáticos y movilidad
