rubro,monto_rubro
A31,5755500
A51,4653600
A65,4802400
AB9,4653600
B13,4365800
B18,5076900
B21,4365800
B41,2783600
B43,3065000
B4D,4653600
BA5,4144000
BA7,4230800
C26,2934300
C27,2988900
C2F,3516500
C2J,3745900
C31,3745900
C37,3965500
C3D,4129900
C3G,4230800
C3I,4301300
C3L,4536800
C5D,4300900
CA1,3501800
CB2,3295300
CB7,3396400
CC2,3073100
CC4,3166500
CF7,3516500
CG1,3201700
CI9,3025100
CJ9,2868900
CK4,2368200
CL3,4129900
CL4,4144000
CL5,4158700
CM6,3954600
CM7,3965500
CM9,4020000
CN2,3606800
CN8,3745900
CÑ8,3406100
CP1,3516500
CP9,3586700
CQ1,3396400
CQ2,3406100
CQ7,3501800
CR1,3277500
CR4,3306800
CR5,3333200
CR6,3335100
CS1,2827700
CS2,2868900
CT4,3201700
CT8,3250500
CU1,3043900
CU3,3055100
CU5,3073100
CU8,3156400
CU9,3166500
CV5,2994500
CW3,2877200
CW5,2907000
CW9,2934300
CX1,2815900
D51,2374900
D52,2389600
D54,2398400
D59,2471100
D5G,2580700
D5J,2611500
D5K,2653600
D5Ñ,2688500
D5Y,2802000
D74,2329100
D75,2364900
D7E,2495000
D7J,2611500
D7L,2660300
D7Ñ,2688500
D7S,2803500
D81,3191700
D86,3306800
D8A,3406100
D8G,3516500
D8H,3543800
D8V,4158700
DA1,2199400
DA5,2296800
DB6,2112700
DC7,2006000
DD7,3156400
DD8,3166500
DE1,2919300
DE3,2934300
DE7,2994500
DF3,2841200
DF4,2846600
DG1,2766800
DG4,2786300
DG7,2803500
DG8,2814900
DG9,2815900
DH1,2660300
DH4,2681800
DH5,2688500
DH6,2696000
DH7,2734800
DH8,2735700
DI2,2555100
DI7,2611500
DI8,2641400
DJ2,2412000
DJ3,2459700
DJ8,2502300
DJ9,2523900
DK1,2300900
DK3,2329100
DK4,2353300
DK6,2373600
DK7,2389600
DK8,2392900
DL1,2233900
DL2,2245200
DL6,2296800
DR7,2138300
DV7,3343600
DX4,2400000
DX5,2412300
E18,3014700
E34,1852000
E38,1901100
E3C,1948600
E3E,1978300
E3J,2006000
E3M,2080500
E3N,2086300
E3Ñ,2110500
E3O,2112600
E3P,2112700
E3Q,2126700
E3V,2153600
E3W,2199400
E3X,2208200
E3Y,2226800
E3Z,2227900
E66,1901100
E68,1948600
E69,1984900
E6C,2086300
E6E,2112600
EA5,2611500
EB3,2112700
EC5,1984900
ER2,1691959
ES3,1741855
ET6,1821897
EX1,1948600
EX2,2364900
F22,2389600
F24,2459700
F27,2502300
F2Ñ,3156400
FA1,2112700
FA9,2364900
FB1,1948600
FB3,2003200
FC1,1658232
FC3,1852000
G31,2373600
G33,2392900
G3D,2555100
G3I,2668400
G3M,2803500
GA1,2233900
GA2,2245200
GA5,2329100
GA8,2364900
GB1,2112700
GB4,2153600
GB6,2199400
GC5,2011000
GC8,2086300
GD1,1852000
GD3,1880300
GD4,1901100
GD6,1913000
GE1,1658232
GE2,1850700
GG4,2112700
GH3,1907800
GH8,2011000
GJ3,1852000
GK1,1707667
GK4,1734232
GK5,1741855
GK7,1746457
GM2,2300900
GU5,1793946
,
